timestamp,pv_output_kwh
2025-09-12 00:00,0.0
2025-09-12 01:00,0.0
2025-09-12 02:00,0.0
2025-09-12 03:00,0.0
2025-09-12 04:00,0.0
2025-09-12 05:00,0.0
2025-09-12 06:00,0.25
2025-09-12 07:00,0.82
2025-09-12 08:00,1.95
2025-09-12 09:00,3.28
2025-09-12 10:00,4.72
2025-09-12 11:00,5.89
2025-09-12 12:00,6.24
2025-09-12 13:00,5.93
2025-09-12 14:00,5.18
2025-09-12 15:00,4.05
2025-09-12 16:00,2.87
2025-09-12 17:00,1.65
2025-09-12 18:00,0.84
2025-09-12 19:00,0.32
2025-09-12 20:00,0.08
2025-09-12 21:00,0.0
2025-09-12 22:00,0.0
2025-09-12 23:00,0.0
2025-09-13 00:00,0.0
2025-09-13 01:00,0.0
2025-09-13 02:00,0.0
2025-09-13 03:00,0.0
2025-09-13 04:00,0.0
2025-09-13 05:00,0.0
2025-09-13 06:00,0.28
2025-09-13 07:00,0.95
2025-09-13 08:00,2.12
2025-09-13 09:00,3.45
2025-09-13 10:00,4.83
2025-09-13 11:00,5.98
2025-09-13 12:00,6.35
2025-09-13 13:00,6.02
2025-09-13 14:00,5.26
2025-09-13 15:00,4.10
2025-09-13 16:00,2.92
2025-09-13 17:00,1.72
2025-09-13 18:00,0.93
2025-09-13 19:00,0.35
2025-09-13 20:00,0.07
2025-09-13 21:00,0.0
2025-09-13 22:00,0.0
2025-09-13 23:00,0.0
2025-09-14 00:00,0.0
2025-09-14 01:00,0.0
2025-09-14 02:00,0.0
2025-09-14 03:00,0.0
2025-09-14 04:00,0.0
2025-09-14 05:00,0.0
2025-09-14 06:00,0.21
2025-09-14 07:00,0.78
2025-09-14 08:00,1.89
2025-09-14 09:00,3.18
2025-09-14 10:00,4.54
2025-09-14 11:00,5.76
2025-09-14 12:00,6.20
2025-09-14 13:00,5.84
2025-09-14 14:00,5.09
2025-09-14 15:00,3.93
2025-09-14 16:00,2.75
2025-09-14 17:00,1.58
2025-09-14 18:00,0.82
2025-09-14 19:00,0.29
2025-09-14 20:00,0.06
2025-09-14 21:00,0.0
2025-09-14 22:00,0.0
2025-09-14 23:00,0.0
2025-09-15 00:00,0.0
2025-09-15 01:00,0.0
2025-09-15 02:00,0.0
2025-09-15 03:00,0.0
2025-09-15 04:00,0.0
2025-09-15 05:00,0.0
2025-09-15 06:00,0.30
2025-09-15 07:00,0.90
2025-09-15 08:00,2.05
2025-09-15 09:00,3.42
2025-09-15 10:00,4.78
2025-09-15 11:00,6.00
2025-09-15 12:00,6.38
2025-09-15 13:00,6.02
2025-09-15 14:00,5.18
2025-09-15 15:00,4.00
2025-09-15 16:00,2.80
2025-09-15 17:00,1.60
2025-09-15 18:00,0.85
2025-09-15 19:00,0.28
2025-09-15 20:00,0.05
2025-09-15 21:00,0.0
2025-09-15 22:00,0.0
2025-09-15 23:00,0.0
2025-09-16 00:00,0.0
2025-09-16 01:00,0.0
2025-09-16 02:00,0.0
2025-09-16 03:00,0.0
2025-09-16 04:00,0.0
2025-09-16 05:00,0.0
2025-09-16 06:00,0.27
2025-09-16 07:00,0.85
2025-09-16 08:00,2.01
2025-09-16 09:00,3.37
2025-09-16 10:00,4.69
2025-09-16 11:00,5.91
2025-09-16 12:00,6.29
2025-09-16 13:00,5.94
2025-09-16 14:00,5.11
2025-09-16 15:00,3.96
2025-09-16 16:00,2.76
2025-09-16 17:00,1.55
2025-09-16 18:00,0.81
2025-09-16 19:00,0.26
2025-09-16 20:00,0.05
2025-09-16 21:00,0.0
2025-09-16 22:00,0.0
2025-09-16 23:00,0.0
2025-09-17 00:00,0.0
2025-09-17 01:00,0.0
2025-09-17 02:00,0.0
2025-09-17 03:00,0.0
2025-09-17 04:00,0.0
2025-09-17 05:00,0.0
2025-09-17 06:00,0.22
2025-09-17 07:00,0.81
2025-09-17 08:00,1.93
2025-09-17 09:00,3.24
2025-09-17 10:00,4.60
2025-09-17 11:00,5.82
2025-09-17 12:00,6.24
2025-09-17 13:00,5.87
2025-09-17 14:00,5.09
2025-09-17 15:00,3.95
2025-09-17 16:00,2.73
2025-09-17 17:00,1.57
2025-09-17 18:00,0.80
2025-09-17 19:00,0.28
2025-09-17 20:00,0.05
2025-09-17 21:00,0.0
2025-09-17 22:00,0.0
2025-09-17 23:00,0.0
